feature,information_set,orientation,scope,markets,large_n,failed_n,eq_market_mean_auc,eq_market_median_auc,markets_auc_gt_0_5,eq_market_large_median,eq_market_failed_median
e5_dir_eff,E5,1,2015-2019,4,15,93,0.7468605669692626,0.7473443223443224,4,0.4415868337850367,-0.08129078704971776
e5_dir_eff,E5,1,2020-2026,7,32,182,0.7325208804419383,0.8133333333333334,6,0.4313137420496232,-0.020009852302436425
e10_cum_atr,E10,1,all,9,308,703,0.8418663794768173,0.8432432432432433,9,2.547761539960113,-0.29184130943773146
e10_cum_atr,E10,1,2010-2014,7,40,70,0.8555102040816326,0.8571428571428571,7,2.005497129157127,-0.6604662498703161
e10_cum_atr,E10,1,2015-2019,4,15,67,0.9049768518518518,0.95,4,2.474755940356428,-0.002312972823255443
e10_cum_atr,E10,1,2020-2026,7,32,146,0.7775430207679309,0.8083333333333333,7,1.8705979782431381,-0.01473677879682757
e10_mfe_atr,E10,1,all,9,308,703,0.8204208439316445,0.8352272727272727,9,3.2802222733546427,0.9831507070697614
e10_mfe_atr,E10,1,2010-2014,7,40,70,0.7470975056689343,0.7321428571428571,6,2.7918547566683247,0.970705194763968
e10_mfe_atr,E10,1,2015-2019,4,15,67,0.8195601851851853,0.8833333333333333,4,2.7575316280808844,0.9691173480280381
e10_mfe_atr,E10,1,2020-2026,7,32,146,0.7818834093515362,0.8070175438596491,7,2.114517809488695,0.8839398721444953
e10_giveback_atr,E10,-1,all,9,308,703,0.6814444626313777,0.670929241261722,9,0.5275959132624851,1.296578988967361
e10_giveback_atr,E10,-1,2010-2014,7,40,70,0.7167857142857142,0.725,7,0.5992686174241698,1.7412683464434477
e10_giveback_atr,E10,-1,2015-2019,4,15,67,0.763425925925926,0.7518518518518519,4,0.24996930254044797,1.2000613304977188
e10_giveback_atr,E10,-1,2020-2026,7,32,146,0.6417917853640311,0.6929824561403509,6,0.5622975408700738,0.8413475422501335
e10_dir_eff,E10,1,all,9,308,703,0.8147252394449462,0.8139204545454546,9,0.35159140731270405,-0.04904603180361893
e10_dir_eff,E10,1,2010-2014,7,40,70,0.8349092970521542,0.875,7,0.2593619129855218,-0.10149578953837249
e10_dir_eff,E10,1,2015-2019,4,15,67,0.8578703703703704,0.8777777777777778,4,0.417078165678164,-0.004280458704059059
e10_dir_eff,E10,1,2020-2026,7,32,146,0.7642435972609232,0.7888888888888889,7,0.3799016148619903,0.007967495200027288
