scope,dimension,checkpoint,progress_q,eff_q,markets,pooled_n,future_net_atr_eq_market_mean,future_net_atr_eq_market_median,future_mfe_atr_eq_market_mean,future_mfe_atr_eq_market_median,future_mae_atr_eq_market_mean,future_mae_atr_eq_market_median,future_plus2_eq_market_mean,future_plus2_eq_market_median,future_plus4_eq_market_mean,future_plus4_eq_market_median,remaining_bars_eq_market_mean,remaining_bars_eq_market_median
2010-2014,joint,5,3.0,4.0,4,8,-0.48885690871982414,-0.7195643889097577,5.191259032178773,2.790412317408684,1.9856599338364416,1.239852813497229,0.625,0.5,0.5,0.5,50.0,50.0
2010-2014,joint,5,4.0,3.0,2,2,-0.2197195682697326,-0.2197195682697326,6.97850398581767,6.97850398581767,1.809415709412036,1.809415709412036,0.5,0.5,0.5,0.5,57.5,57.5
2010-2014,joint,5,4.0,4.0,9,23,-2.3916431530240195,-0.22915830769287288,2.242882315106766,1.7992057132527776,3.256666840140273,2.169886944015553,0.2777777777777778,0.3333333333333333,0.1111111111111111,0.0,26.074074074074073,20.0
2010-2014,joint,5,4.0,5.0,4,5,-1.9778994941874684,-1.9778994941874684,4.0243252233352,3.7785005684070976,3.011918390099556,2.737256635386943,0.625,0.625,0.375,0.375,30.5,30.5
2010-2014,joint,5,5.0,4.0,4,4,5.500337777978799,5.500337777978799,10.18828278238493,10.18828278238493,1.8937098397871927,1.8937098397871927,0.75,0.75,0.75,0.75,56.75,56.75
2010-2014,joint,5,5.0,5.0,9,42,-0.3936887074432802,0.29380295870916473,5.329263329104269,4.803301569204107,2.546658388303137,2.045889669706069,0.6619769119769119,0.6666666666666666,0.4914021164021164,0.5,44.88392857142857,41.5
2010-2014,progress,10,1.0,,9,42,-1.3828164271035838,-0.8332387016512884,2.5395677929293893,2.266187355168054,1.0123173539344398,0.9152571098807334,0.25,0.25,0.16666666666666666,0.16666666666666666,15.162037037037036,13.5
2010-2014,progress,10,2.0,,9,40,-0.8457717471246918,-0.3788791663269027,4.469073054303866,2.959164544596294,2.472569719756927,1.7980174424188653,0.2685185185185185,0.25,0.21296296296296297,0.25,29.10185185185185,22.5
2010-2014,progress,10,3.0,,9,33,1.2365071505710443,0.3140138205509767,4.974107848512811,4.325825060659184,2.019292249042806,1.7321183744994162,0.4722222222222222,0.5,0.3472222222222222,0.375,43.71296296296296,45.5
2010-2014,progress,10,4.0,,9,41,-0.5132414458893277,-0.44992627764868896,5.663695847845583,4.665855270686539,3.261328434413258,2.762787018770643,0.49166666666666664,0.5,0.3,0.25,40.87222222222222,38.0
2010-2014,progress,10,5.0,,9,35,-0.6942271985110497,0.4537075090253527,7.41825463007259,6.302119868368349,3.271755011851066,2.310454520141803,0.6481481481481481,0.6666666666666666,0.48148148148148145,0.5,46.63584656084656,43.75
2010-2014,efficiency,10,,1.0,9,41,-0.31793027453817055,-0.1182134910676742,4.721391620426436,3.418605452073273,0.908518210964372,0.9152571098807334,0.25277777777777777,0.25,0.18055555555555555,0.16666666666666666,17.37037037037037,13.5
2010-2014,efficiency,10,,2.0,9,44,-3.3620019506685657,-0.6699638530336519,3.0622776994220287,2.4492297836114014,2.2127864503063047,1.7980174424188653,0.3148148148148148,0.25,0.25925925925925924,0.25,29.212962962962962,22.5
