start_date,regime_id
2015-05-08,2
2015-05-27,1
2015-05-28,4
2015-06-02,1
2015-06-03,2
2015-06-04,1
2015-06-08,2
2015-07-02,5
2015-07-08,8
2015-07-09,4
2015-07-10,5
2015-07-15,4
2015-07-16,7
2015-09-04,4
2015-09-23,7
2015-11-06,4
2015-11-11,7
2015-11-24,4
2015-12-01,7
2016-03-07,8
2016-03-10,9
2016-03-11,8
2016-03-14,9
2016-03-15,8
2016-03-17,9
2016-03-29,8
2016-03-31,9
2016-04-01,8
2016-04-12,9
2016-04-13,6
2016-04-21,3
2016-04-29,6
2016-05-02,3
2016-05-03,6
2016-05-12,9
2016-05-25,6
2016-06-10,9
2016-06-15,8
2016-06-20,5
2016-06-22,6
2016-06-24,9
2016-06-27,8
2016-07-01,9
2016-07-05,8
2016-07-12,5
2016-07-26,2
2016-07-28,4
2016-07-29,5
2016-08-01,4
2016-08-04,5
2016-08-05,2
2016-08-09,5
2016-08-11,4
2016-08-12,5
2016-08-15,2
2016-08-17,5
2016-08-18,2
2016-08-19,3
2016-08-24,6
2016-08-25,3
2016-08-29,2
2016-09-06,5
2016-09-07,2
2016-09-08,3
2016-09-12,2
2016-09-23,3
2016-10-25,6
2016-11-08,3
2017-02-23,6
2017-03-09,5
2017-03-10,8
2017-03-15,5
2017-03-21,8
2017-03-24,5
2017-04-06,6
2017-04-17,9
2017-04-18,5
2017-04-24,4
2017-04-25,5
2017-04-26,2
2017-04-27,1
2017-04-28,4
2017-05-17,7
2017-05-22,5
2017-05-23,8
2017-05-25,7
2017-06-09,4
2017-06-29,1
2017-07-20,2
2017-07-21,5
2017-07-24,4
2017-07-25,2
2017-07-26,5
2017-07-28,6
2017-08-01,5
2017-08-07,6
2017-08-08,8
2017-08-09,9
2017-08-10,8
2017-08-15,7
2017-08-18,8
2017-08-21,7
2017-08-31,8
2017-09-06,9
2017-09-08,8
2017-09-11,9
2017-09-13,6
2017-09-14,9
2017-09-15,6
2017-09-22,3
2017-11-03,6
2017-11-06,3
2017-11-07,6
2017-11-21,3
2017-11-24,6
2017-11-28,3
2018-01-26,6
2018-01-30,3
2018-01-31,6
2018-02-02,3
2018-02-12,6
2018-02-14,3
2018-02-27,6
2018-03-02,3
2018-06-20,2
2018-06-26,3
2018-07-05,6
2018-07-11,5
2018-07-12,8
2018-07-19,5
2018-07-20,8
2018-08-15,7
2018-08-24,8
2018-09-12,9
2018-09-14,8
2018-09-19,9
2018-09-24,6
2018-09-27,9
2018-10-19,8
2018-10-24,7
2019-01-25,4
2019-02-21,5
2019-02-22,2
2019-02-26,5
2019-03-01,2
2019-03-05,5
2019-03-20,8
2019-03-21,6
2019-03-22,8
2019-04-01,5
2019-04-03,6
2019-04-16,5
2019-04-17,6
2019-04-18,5
2019-04-22,6
2019-05-01,9
2019-05-02,8
2019-05-08,7
2019-07-11,8
2019-07-18,7
2019-09-16,5
2019-09-17,8
2019-09-19,7
2019-10-24,8
2019-11-01,5
2019-11-04,6
2019-11-15,5
2019-11-19,8
2019-11-22,6
2019-11-25,5
2019-11-26,6
2019-11-29,5
2019-12-03,8
2019-12-06,9
2019-12-12,6
2019-12-13,9
2019-12-18,6
2019-12-27,9
2019-12-31,6
2020-01-10,9
2020-01-21,8
2020-01-23,7
2020-05-21,4
2020-05-29,7
2020-06-01,4
2020-06-03,1
2020-06-05,2
2020-06-17,3
2020-06-24,6
2020-06-25,2
2020-07-01,3
2020-07-07,6
2020-07-10,5
2020-07-13,6
2020-07-14,3
2020-07-28,6
2020-08-10,3
2020-08-24,6
2020-08-25,3
2020-08-26,6
2020-08-28,3
2020-08-31,6
2020-09-04,5
2020-09-14,2
2020-09-15,5
2020-09-16,2
2020-09-17,3
2020-09-21,2
2020-09-25,5
2020-09-28,2
2020-09-30,5
2020-10-01,2
2020-10-02,5
2020-10-05,2
2020-10-08,3
2020-10-14,2
2020-10-20,3
2020-10-26,2
2020-10-27,5
2020-10-28,2
2020-11-10,3
2020-11-13,2
2020-11-20,3
2021-05-21,6
2021-05-27,3
2021-06-07,6
2021-06-08,3
2021-06-10,6
2021-06-21,3
2021-07-07,6
2021-07-09,3
2021-07-13,6
2021-07-20,5
2021-07-21,6
2021-08-09,5
2021-08-11,6
2021-08-17,9
2021-08-18,8
2021-08-20,7
2021-08-23,8
2021-08-25,5
2021-08-26,8
2021-08-27,5
2021-09-03,8
2021-09-13,6
2021-09-27,3
2021-09-29,6
2021-10-12,3
2021-10-27,6
2021-11-01,3
2021-11-15,6
2021-11-16,3
2021-11-17,6
2021-11-26,5
2021-11-29,8
2021-12-01,7
2021-12-07,8
2021-12-14,7
2021-12-22,8
2021-12-28,9
2022-06-06,6
2022-06-10,9
2022-06-23,8
2022-06-30,7
2022-08-08,4
2022-08-09,7
2022-08-10,4
2022-08-11,5
2022-08-15,4
2022-08-17,7
2022-08-19,8
2022-08-23,5
2022-08-30,8
2022-08-31,7
2022-09-13,4
2022-09-14,7
2022-09-15,4
2022-09-22,7
2022-09-30,4
2022-10-11,1
2022-10-14,4
2022-10-21,5
2022-10-25,2
2022-11-10,1
2022-11-11,2
2022-11-15,1
2022-11-23,4
2022-11-29,1
2022-11-30,4
2022-12-01,1
2022-12-05,4
2023-01-10,1
2023-03-03,2
2023-03-08,1
2023-03-10,4
2023-03-15,7
2023-04-12,8
2023-04-21,7
2023-06-07,4
2023-06-20,5
2023-06-22,4
2023-07-10,1
2023-07-11,2
2023-07-19,5
2023-07-21,6
2023-07-26,3
2023-07-27,6
