signal_date,gpi_fast20,gpi_mid63,gpi_acc,ipi_fast20,ipi_mid63,ipi_acc
2025-04-30,1.91375787,0.50904145,1.40471642,1.41367961,0.32698409,1.08669552
2025-05-30,0.61676404,0.80953843,-0.19277439,0.36388009,0.65235563,-0.28847554
2025-06-30,0.38188714,0.52603847,-0.14415133,0.56918111,0.51153751,0.0576436
2025-07-31,-0.17446934,-0.0248886,-0.14958074,-0.09771568,0.03795971,-0.13567539
2025-08-29,-0.10979756,-0.10105061,-0.00874695,-0.30981337,-0.20692446,-0.10288891
2025-09-30,-0.22769349,-0.16962587,-0.05806762,0.18212228,0.09447392,0.08764836
2025-10-31,0.03626292,-0.10423039,0.14049331,0.0490058,0.0715439,-0.0225381
2025-11-28,-0.6011329,-0.36093698,-0.24019592,-0.40173534,-0.3213633,-0.08037204
2025-12-31,0.24234421,-0.06313268,0.30547689,-0.12657996,-0.25744428,0.13086432
2026-01-30,0.13921076,0.13526574,0.00394502,0.53254427,0.15148478,0.38105949
2026-02-27,-0.31943548,-0.03536553,-0.28406995,-0.54714769,-0.2028548,-0.34429289
2026-03-31,-0.35890347,-0.32854785,-0.03035562,-0.27147488,-0.35382618,0.0823513
2026-04-30,0.47971261,0.10174563,0.37796698,0.4914328,0.09102298,0.40040982
2026-05-29,-0.53720688,-0.08492916,-0.45227772,-0.24487916,-0.09456509,-0.15031407
2026-06-30,-0.26358398,-0.33998303,0.07639905,-0.07994237,-0.13971198,0.05976961
2026-07-31,0.45836275,0.04057694,0.41778581,-0.49561386,-0.17679472,-0.31881914
2026-08-31,-0.61694313,-0.13077847,-0.48616466,-0.19072381,-0.19257803,0.00185422
